Measure	Cognitive Labels	DDM labels	Difference score?	1 off weird ones
"[105] ""stop_signal.proactive_slowing""                             "	proactive control		Yes	
"[106] ""stroop.EZ_drift_congruent""                                 "	"response selection, selective attention"			
"[107] ""stroop.EZ_non_decision_congruent""                          "	"response selection, selective attention"			
"[108] ""stroop.EZ_thresh_congruent""                                "	"response selection, selective attention"			
"[109] ""stroop.stroop_EZ_drift""                                    "	response conflict	drift	Yes	
"[110] ""stroop.stroop_EZ_non_decision""                             "	response conflict	ND	Yes	
"[111] ""stroop.stroop_EZ_thresh""                                   "	response conflict	thresh	Yes	
"[112] ""threebytwo.EZ_drift_cue_stay""                              "	response selection	drift		
"[113] ""threebytwo.EZ_non_decision_cue_stay""                       "	response selection	ND		
"[114] ""threebytwo.EZ_thresh_cue_stay""                             "	response selection	thresh		
"[115] ""threebytwo.cue_switch_cost_EZ_drift""                       "	cue encoding	drift	Yes	x
"[116] ""threebytwo.cue_switch_cost_EZ_non_decision""                "	cue encoding	ND	Yes	x
"[117] ""threebytwo.cue_switch_cost_EZ_thresh""                      "	cue encoding	thresh	Yes	x
"[118] ""threebytwo.task_inhibition""                                "	inhibition		Yes	
"[119] ""threebytwo.task_switch_cost_EZ_drift""                      "	set shifting	drift	Yes	
"[120] ""threebytwo.task_switch_cost_EZ_non_decision""               "	set shifting	ND	Yes	
"[121] ""threebytwo.task_switch_cost_EZ_thresh""                     "	set shifting	thresh	Yes	
"[122] ""tower_of_london.avg_move_time""                             "	speed			
"[123] ""tower_of_london.num_correct""                               "	intelligence			
"[124] ""tower_of_london.num_optimal_solutions""                     "	intelligence			
"[125] ""tower_of_london.planning_time""                             "	speed			
"[126] ""tower_of_london.total_moves""                               "	speed			
"[127] ""two_stage_decision.model_based""                            "	learning			
"[128] ""two_stage_decision.model_free""                             "	learning			
"[129] ""writing_task.neutral_probability""                          "	neutral writing			x
"[130] ""writing_task.positive_probability"" "	positive writing			x
